field,DegreeLevel,SE_type,ethnicity_race,count
S&E occupations,bachelors,SE_field,hisp_lat,534000
S&E occupations,bachelors,SE_field,amer_ind_alaskan,7000
S&E occupations,bachelors,SE_field,asian,732000
S&E occupations,bachelors,SE_field,black_afri_amer,282000
S&E occupations,bachelors,SE_field,nat_hawaii_pacific_islander,5000
S&E occupations,bachelors,SE_field,white,3333000
S&E occupations,bachelors,SE_field,multi_race,158000
"Biological, agricultural, and other life scientists",bachelors,SE_field,hisp_lat,30000
"Biological, agricultural, and other life scientists",bachelors,SE_field,amer_ind_alaskan,NA
"Biological, agricultural, and other life scientists",bachelors,SE_field,asian,30000
"Biological, agricultural, and other life scientists",bachelors,SE_field,black_afri_amer,16000
"Biological, agricultural, and other life scientists",bachelors,SE_field,nat_hawaii_pacific_islander,NA
"Biological, agricultural, and other life scientists",bachelors,SE_field,white,230000
"Biological, agricultural, and other life scientists",bachelors,SE_field,multi_race,7000
Computer and mathematical scientists,bachelors,SE_field,hisp_lat,307000
Computer and mathematical scientists,bachelors,SE_field,amer_ind_alaskan,NA
Computer and mathematical scientists,bachelors,SE_field,asian,517000
Computer and mathematical scientists,bachelors,SE_field,black_afri_amer,195000
Computer and mathematical scientists,bachelors,SE_field,nat_hawaii_pacific_islander,NA
Computer and mathematical scientists,bachelors,SE_field,white,1866000
Computer and mathematical scientists,bachelors,SE_field,multi_race,98000
Physical and related scientists,bachelors,SE_field,hisp_lat,22000
Physical and related scientists,bachelors,SE_field,amer_ind_alaskan,NA
Physical and related scientists,bachelors,SE_field,asian,12000
Physical and related scientists,bachelors,SE_field,black_afri_amer,8000
Physical and related scientists,bachelors,SE_field,nat_hawaii_pacific_islander,NA
Physical and related scientists,bachelors,SE_field,white,136000
Physical and related scientists,bachelors,SE_field,multi_race,4000
Social and related scientists,bachelors,SE_field,hisp_lat,27000
Social and related scientists,bachelors,SE_field,amer_ind_alaskan,NA
Social and related scientists,bachelors,SE_field,asian,20000
Social and related scientists,bachelors,SE_field,black_afri_amer,15000
Social and related scientists,bachelors,SE_field,nat_hawaii_pacific_islander,NA
Social and related scientists,bachelors,SE_field,white,97000
Social and related scientists,bachelors,SE_field,multi_race,NA
Engineers,bachelors,SE_field,hisp_lat,148000
Engineers,bachelors,SE_field,amer_ind_alaskan,2000
Engineers,bachelors,SE_field,asian,153000
Engineers,bachelors,SE_field,black_afri_amer,48000
Engineers,bachelors,SE_field,nat_hawaii_pacific_islander,NA
Engineers,bachelors,SE_field,white,1004000
Engineers,bachelors,SE_field,multi_race,43000
S&E-related occupations,bachelors,SE_field,hisp_lat,690000
S&E-related occupations,bachelors,SE_field,amer_ind_alaskan,5000
S&E-related occupations,bachelors,SE_field,asian,760000
S&E-related occupations,bachelors,SE_field,black_afri_amer,454000
S&E-related occupations,bachelors,SE_field,nat_hawaii_pacific_islander,NA
S&E-related occupations,bachelors,SE_field,white,3729000
S&E-related occupations,bachelors,SE_field,multi_race,213000
Non-S&E occupations,bachelors,SE_field,hisp_lat,2727000
Non-S&E occupations,bachelors,SE_field,amer_ind_alaskan,55000
Non-S&E occupations,bachelors,SE_field,asian,1635000
Non-S&E occupations,bachelors,SE_field,black_afri_amer,1922000
