field,ethnicity_race,count,sex,SE_type,year
"Biological, Agricultural, and Environmental Life sciences",Hispanic or Latino,31000,Female,SE_field,2023
"Biological, Agricultural, and Environmental Life sciences",Other,NA,Female,SE_field,2023
"Biological, Agricultural, and Environmental Life sciences",Asian,81000,Female,SE_field,2023
"Biological, Agricultural, and Environmental Life sciences",Black or African American,19000,Female,SE_field,2023
"Biological, Agricultural, and Environmental Life sciences",Other,NA,Female,SE_field,2023
"Biological, Agricultural, and Environmental Life sciences",White,242000,Female,SE_field,2023
"Biological, Agricultural, and Environmental Life sciences",Other,9000,Female,SE_field,2023
Computer and Mathematical sciences,Hispanic or Latino,35000,Female,SE_field,2023
Computer and Mathematical sciences,Other,NA,Female,SE_field,2023
Computer and Mathematical sciences,Asian,184000,Female,SE_field,2023
Computer and Mathematical sciences,Black or African American,41000,Female,SE_field,2023
Computer and Mathematical sciences,Other,NA,Female,SE_field,2023
Computer and Mathematical sciences,White,189000,Female,SE_field,2023
Computer and Mathematical sciences,Other,12000,Female,SE_field,2023
Physical and Related sciences,Hispanic or Latino,10000,Female,SE_field,2023
Physical and Related sciences,Other,NA,Female,SE_field,2023
Physical and Related sciences,Asian,20000,Female,SE_field,2023
Physical and Related sciences,Black or African American,4000,Female,SE_field,2023
Physical and Related sciences,Other,NA,Female,SE_field,2023
Physical and Related sciences,White,96000,Female,SE_field,2023
Physical and Related sciences,Other,3000,Female,SE_field,2023
Social and Related sciences,Hispanic or Latino,51000,Female,SE_field,2023
Social and Related sciences,Other,NA,Female,SE_field,2023
Social and Related sciences,Asian,47000,Female,SE_field,2023
Social and Related sciences,Black or African American,27000,Female,SE_field,2023
Social and Related sciences,Other,NA,Female,SE_field,2023
Social and Related sciences,White,232000,Female,SE_field,2023
Social and Related sciences,Other,8000,Female,SE_field,2023
Engineering,Hispanic or Latino,40000,Female,SE_field,2023
Engineering,Other,NA,Female,SE_field,2023
Engineering,Asian,116000,Female,SE_field,2023
Engineering,Black or African American,12000,Female,SE_field,2023
Engineering,Other,NA,Female,SE_field,2023
Engineering,White,221000,Female,SE_field,2023
Engineering,Other,12000,Female,SE_field,2023
Science & Engineering Related fields,Hispanic or Latino,10000,Female,SE_related_fields,2023
Science & Engineering Related fields,Other,NA,Female,SE_related_fields,2023
Science & Engineering Related fields,Asian,37000,Female,SE_related_fields,2023
Science & Engineering Related fields,Black or African American,19000,Female,SE_related_fields,2023
Science & Engineering Related fields,Other,NA,Female,SE_related_fields,2023
Science & Engineering Related fields,White,143000,Female,SE_related_fields,2023
Science & Engineering Related fields,Other,NA,Female,SE_related_fields,2023
Non-science & Engineering fields,Hispanic or Latino,74000,Female,non_SE_fields,2023
Non-science & Engineering fields,Other,NA,Female,non_SE_fields,2023
Non-science & Engineering fields,Asian,92000,Female,non_SE_fields,2023
Non-science & Engineering fields,Black or African American,54000,Female,non_SE_fields,2023
Non-science & Engineering fields,Other,NA,Female,non_SE_fields,2023
Non-science & Engineering fields,White,389000,Female,non_SE_fields,2023
Non-science & Engineering fields,Other,12000,Female,non_SE_fields,2023
"Biological, Agricultural, and Environmental Life sciences",Hispanic or Latino,42000,Male,SE_field,2023
"Biological, Agricultural, and Environmental Life sciences",Other,NA,Male,SE_field,2023
"Biological, Agricultural, and Environmental Life sciences",Asian,58000,Male,SE_field,2023
"Biological, Agricultural, and Environmental Life sciences",Black or African American,11000,Male,SE_field,2023
"Biological, Agricultural, and Environmental Life sciences",Other,NA,Male,SE_field,2023
"Biological, Agricultural, and Environmental Life sciences",White,258000,Male,SE_field,2023
"Biological, Agricultural, and Environmental Life sciences",Other,8000,Male,SE_field,2023
Computer and Mathematical sciences,Hispanic or Latino,152000,Male,SE_field,2023
Computer and Mathematical sciences,Other,NA,Male,SE_field,2023
Computer and Mathematical sciences,Asian,405000,Male,SE_field,2023
Computer and Mathematical sciences,Black or African American,103000,Male,SE_field,2023
Computer and Mathematical sciences,Other,NA,Male,SE_field,2023
Computer and Mathematical sciences,White,926000,Male,SE_field,2023
Computer and Mathematical sciences,Other,54000,Male,SE_field,2023
Physical and Related sciences,Hispanic or Latino,30000,Male,SE_field,2023
Physical and Related sciences,Other,NA,Male,SE_field,2023
Physical and Related sciences,Asian,52000,Male,SE_field,2023
Physical and Related sciences,Black or African American,12000,Male,SE_field,2023
Physical and Related sciences,Other,NA,Male,SE_field,2023
Physical and Related sciences,White,240000,Male,SE_field,2023
Physical and Related sciences,Other,7000,Male,SE_field,2023
Social and Related sciences,Hispanic or Latino,37000,Male,SE_field,2023
Social and Related sciences,Other,NA,Male,SE_field,2023
Social and Related sciences,Asian,24000,Male,SE_field,2023
Social and Related sciences,Black or African American,21000,Male,SE_field,2023
Social and Related sciences,Other,NA,Male,SE_field,2023
Social and Related sciences,White,278000,Male,SE_field,2023
Social and Related sciences,Other,10000,Male,SE_field,2023
Engineering,Hispanic or Latino,184000,Male,SE_field,2023
Engineering,Other,1000,Male,SE_field,2023
Engineering,Asian,469000,Male,SE_field,2023
Engineering,Black or African American,79000,Male,SE_field,2023
Engineering,Other,NA,Male,SE_field,2023
Engineering,White,1255000,Male,SE_field,2023
Engineering,Other,47000,Male,SE_field,2023
Science & Engineering Related fields,Hispanic or Latino,32000,Male,SE_related_fields,2023
Science & Engineering Related fields,Other,NA,Male,SE_related_fields,2023
Science & Engineering Related fields,Asian,71000,Male,SE_related_fields,2023
Science & Engineering Related fields,Black or African American,21000,Male,SE_related_fields,2023
Science & Engineering Related fields,Other,NA,Male,SE_related_fields,2023
Science & Engineering Related fields,White,179000,Male,SE_related_fields,2023
Science & Engineering Related fields,Other,10000,Male,SE_related_fields,2023
